triple_id,protein_id,selection_id,expected_class,method,R_model_kcal_mol,decision,outcome
triple_015,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,released_static,-405497.12697468954,Ca-supported,correct
triple_015,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_precision,-405486.73956671625,Ca-supported,correct
triple_015,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_strict,-405488.4033164783,Ca-supported,correct
triple_015,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,threefold3p5,-405486.73956671625,Ca-supported,correct
triple_016,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_mathematical,-405485.4231672567,Ca-supported,correct
triple_016,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_operational,-405485.4231672567,Ca-supported,correct
triple_016,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_origin,-405494.47702370014,Ca-supported,correct
triple_016,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,released_static,-405492.96858367196,Ca-supported,correct
triple_016,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_precision,-405482.13126279565,Ca-supported,correct
triple_016,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_strict,-405482.1325064253,Ca-supported,correct
triple_016,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,threefold3p5,-405482.13126279565,Ca-supported,correct
triple_017,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_mathematical,-405485.78748238256,Ca-supported,correct
triple_017,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_operational,-405485.78748238256,Ca-supported,correct
triple_017,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_origin,-405494.4448147295,Ca-supported,correct
triple_017,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,released_static,-405492.6309236791,Ca-supported,correct
triple_017,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_precision,-405482.13126279565,Ca-supported,correct
triple_017,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_strict,-405482.1325064253,Ca-supported,correct
triple_017,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,threefold3p5,-405482.13126279565,Ca-supported,correct
triple_018,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_mathematical,-405485.78748238256,Ca-supported,correct
triple_018,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_operational,-405485.78748238256,Ca-supported,correct
triple_018,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_origin,-405494.4448147295,Ca-supported,correct
triple_018,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,released_static,-405492.6309236791,Ca-supported,correct
triple_018,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_precision,-405482.64081090555,Ca-supported,correct
triple_018,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_strict,-405482.64118324145,Ca-supported,correct
triple_018,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,threefold3p5,-405482.64081090555,Ca-supported,correct
